Time_s,RL_SpeedFactor,RL_PulseFactor,RL_Thickness_um,Baseline_Thickness_um,Reward
7.86,0.999998688697815,0.500018179416656,216.583703610146,500,-19.9992524175312
7.89,0.999999165534973,0.500009953975677,241.872145857305,500,-20.0794560198338
7.92,0.999999463558197,0.500004887580872,275.753737844593,500,-20.25126069088
7.95,0.999999701976776,0.50000274181366,322.19422707201,500,-20.3114690176889
7.98,0.999999761581421,0.500001609325409,387.904609034234,500,-20.3614773934115
8.01,0.999999761581421,0.500001013278961,484.993780315143,500,-20.4014751405366
8.04,0.99999988079071,0.500000655651093,500,500,-20.4319194451921
8.07,0.999999761581421,0.500000357627869,500,500,-19.3289888974946
8.1,0.999999761581421,0.500000298023224,500,500,-19.3289883014481
8.13,0.999999761581421,0.500000238418579,500,500,-19.3289883014481
8.16,0.999999761581421,0.500000238418579,500,500,-19.3289883014481
8.19,0.999999761581421,0.500000357627869,500,500,-19.3289883014481
8.22,0.999999701976776,0.500000417232513,500,500,-19.4249310600467
8.25,0.999999761581421,0.500000357627869,500,500,-19.4249310600467
8.28,0.999999761581421,0.500000298023224,500,500,-19.4249307620235
8.31,0.999999761581421,0.500000298023224,500,500,-19.4249307620235
8.34,0.999999761581421,0.500000417232513,500,500,-19.4249307620235
8.37,0.99999988079071,0.500000298023224,500,500,-19.3647438071765
8.4,0.999999761581421,0.500000476837158,484.993259974321,500,-19.3647438071765
8.43,0.999999761581421,0.500000774860382,387.903961650658,500,-19.36474321113
8.46,0.999999701976776,0.500001311302185,322.193305271939,500,-19.5913797890066
8.49,0.999999582767487,0.500002443790436,275.752357216813,500,-19.6617289402059
8.52,0.999999046325684,0.500007510185242,241.870992544486,500,-19.2824529836381
8.55,0.99999862909317,0.50001448392868,208.166168422928,500,-19.5225789345701
8.58,0.999998092651367,0.500028252601624,156.77852040993,500,-19.6208442469809
8.61,0.999997198581696,0.500054597854614,122.2325902681,488.87560825517,3.04976905873002
8.64,0.99999612569809,0.50009685754776,98.2576479548104,392.952948182177,10.1600130520602
8.67,0.999996244907379,0.500083386898041,81.1695239294511,324.62273795518,10.5058135929346
8.7,0.999994933605194,0.5001420378685,68.7545511543469,274.938707850522,10.5058076324702
8.73,0.999992907047272,0.500224947929382,59.5939153360774,238.266775321514,10.2299292092063
8.76,0.999989032745361,0.500310897827148,52.7733849866954,210.960050787367,10.101125559749
8.79,0.99998527765274,0.50038743019104,47.6895570235803,190.607725310583,4.39404047597851
8.82,0.999981224536896,0.500462114810944,43.9403033272283,175.595622634825,3.63753299882365
8.85,0.999983131885529,0.50042724609375,41.2466686651973,164.843034561478,2.83736859079475
8.88,0.999985635280609,0.500382423400879,39.441607570504,157.643590815263,2.26267989900356
8.91,0.999988496303558,0.500324428081512,38.4180698709581,153.57086628153,1.88798244279394
8.94,0.999991536140442,0.500260055065155,38.1270605784084,152.427672328772,1.70221508617671
8.97,0.999992489814758,0.500238120555878,38.5759371804757,154.229139615251,1.69867692423562
9,0.999994874000549,0.500180542469025,39.8190824993676,159.218022317366,1.9111913850369
9.03,0.999996662139893,0.500129401683807,41.9908236869585,167.919276035727,2.36455925767446
9.06,0.999997615814209,0.500084221363068,45.3211520721647,181.25364521435,3.1169413279521
9.09,0.999998271465302,0.500053644180298,50.1938914137478,200.753680074241,9.21630594685091
9.12,0.999998688697815,0.50003308057785,57.2479599711912,228.976390264657,9.19504451727537
9.15,0.999999046325684,0.500021457672119,67.5847278497985,270.327052405406,9.14503554550635
9.18,0.999999225139618,0.500014364719391,83.2082069742535,332.823008179803,9.10503839442765
9.21,0.999999344348907,0.500010073184967,108.064081804782,432.247335595068,3.26818680336367
9.24,0.999999463558197,0.500007569789886,150.818623152681,500,-20.9470415346576
9.27,0.999999582767487,0.500005185604095,233.743541023703,500,-20.9464423759427
9.3,0.999999582767487,0.500004708766937,429.785743653356,500,-20.9539738938504
9.33,0.999999582767487,0.500004887580872,500,500,-20.9568968131028
9.36,0.999999463558197,0.500005960464478,500,500,-20.9573343195975
9.39,0.999999225139618,0.500008344650269,500,500,-20.9575477495575
9.42,0.999999463558197,0.50000673532486,500,500,-20.7850382077851
9.45,0.999999582767487,0.500005662441254,227.92626886165,500,-20.7888176379956
9.48,0.999999582767487,0.500006318092346,123.30447187706,493.211449410736,1.87345168845946
9.51,0.999999582767487,0.500008761882782,78.8413617765646,315.359789234525,9.1917510380086
9.54,0.999999463558197,0.500014901161194,55.729790305554,222.9123983319,9.17304686057912
9.57,0.999999225139618,0.500027537345886,42.1185590199051,168.464827387166,1.92538599687794
9.6,0.999998807907104,0.500062048435211,33.3938769727175,133.558774430532,-0.294148399704526
9.63,0.999996900558472,0.500127673149109,27.4508332373268,109.774961990116,-16.194562420807
9.66,0.999992370605469,0.500247240066528,23.216347708845,92.8187852833781,-16.2625111413196
9.69,0.99998527765274,0.500405311584473,20.0938805277377,80.3092382653848,-16.3484560598211
9.72,0.999955773353577,0.500900149345398,17.7423011025957,70.8385351583687,-14.5892917490261
9.75,0.99992448091507,0.50134140253067,15.9265529495668,63.5309595835252,-14.9423520931805
9.78,0.999891221523285,0.50176203250885,14.5073474986977,57.8193186080886,-15.1418349844371
9.81,0.999846279621124,0.502280950546265,13.3939791733382,53.3244202521334,-15.3543135527101
9.84,0.999792039394379,0.502857804298401,12.5204311038967,49.7867478259659,-15.5776763736925
9.87,0.999702572822571,0.50371241569519,11.8473492048044,47.0261407586086,-15.2761229960852
9.9,0.999650180339813,0.504199087619781,11.3275892696216,44.9172834074294,-15.5142065159496
9.93,0.999603092670441,0.504624605178833,10.9482799527594,43.3745575934476,-15.756262795542
9.96,0.999598681926727,0.504675567150116,10.688962586669,42.3427390120525,-15.9994102544109
9.99,0.999625086784363,0.504458010196686,10.545005334508,41.7915927969473,-16.2416030286399
10.02,0.999599575996399,0.504665017127991,10.5298471374871,41.7133360811872,-15.7045418901633
10.05,0.999683916568756,0.503922522068024,10.6166013373911,42.1225293208054,-15.9368148637206
10.08,0.999762415885925,0.503184616565704,10.835744018546,43.0584292971461,-16.1601013947324
10.11,0.999833345413208,0.502461314201355,11.2043249577721,44.5903292014906,-16.3724832861722
10.14,0.999890446662903,0.501811265945435,11.7504660545954,46.8270824079276,-16.5718868976659
10.17,0.999889492988586,0.50180584192276,12.5297458182397,49.9331021953466,-15.793694662284
10.2,0.999931454658508,0.501272022724152,13.5741537395594,54.1551200914524,-15.962149706407
10.23,0.999957323074341,0.500896334648132,14.9944386612116,59.8678716832708,-16.1127488340367
10.26,0.999980926513672,0.500494360923767,16.9307849585314,67.6549561844703,-16.2449142215092
