Time_s,Target_X,Target_Y,Target_Z,RL_SpeedNorm,RoArm_Spd_Param,Reward,TrackingError_mm,EE_Velocity_mms,Is_Dwell
4.4,262.5,-30,212.5,0.999873697757721,100,0.0393527912957603,2.04327563929864,55.5902669338604,0
4.6,258.333333333333,-20,215,0.999822080135345,100,0.174970187872748,0.550121185391542,55.5902669338604,0
4.8,254.166666666667,-10,217.5,0.999896168708801,100,-0.0347244894953115,2.8586859010258,55.5902669338584,0
5,250,0,220,0.99987781047821,100,0.0303899572913576,2.14197673832591,55.5902669338603,0
5.2,250,0,220,0.999924123287201,100,-0.228939167787348,2.77602768635628,0,1
5.4,246.666666666667,-13.3333333333333,212.5,0.999864518642426,100,0.0704404167044834,1.65487638062457,78.2845592835659,0
5.6,243.333333333333,-26.6666666666667,205,0.999901294708252,100,-0.0513385100313326,3.01476694956514,78.2845592835674,0
5.8,240,-40,197.5,0.999892830848694,100,-0.0149090395573361,2.64071905473249,78.2845592835659,0
6,236.666666666667,-53.3333333333333,190,0.999866008758545,100,0.0745715592225625,1.65554805255258,78.2845592835659,0
6.2,233.333333333333,-66.6666666666667,182.5,0.999862551689148,100,0.0863722946869742,1.52569451276711,78.2845592835674,0
6.4,230,-80,175,0.999871015548706,100,0.0631503944176637,1.78134218346831,78.2845592835659,0
6.6,226.666666666667,-93.3333333333333,167.5,0.999895393848419,100,-0.016784215415365,2.66132517263646,78.2845592835659,0
6.8,223.333333333333,-106.666666666667,160,0.999925315380096,100,-0.147117667906632,4.09616733172225,78.2845592835687,0
7,220,-120,152.5,0.999879837036133,100,0.0410000250458441,2.02510680751376,78.2845592835646,0
7.2,216.666666666667,-133.333333333333,145,0.999882817268372,100,0.0331750994550375,2.111372618189,78.2845592835646,0
7.4,213.333333333333,-146.666666666667,137.5,0.999873697757721,100,0.0640923598886428,1.77097813930148,78.2845592835699,0
7.6,210,-160,130,0.999918758869171,100,-0.107014178426005,3.65462858661341,78.2845592835646,0
7.8,210,-160,130,0.999935865402222,100,-0.272763147703539,3.25076922676049,0,1
8,210,160,130,0.999932408332825,100,-0.111135088839031,3.12278985792465,1600,0
8.2,210,133.333333333333,130,0.999898374080658,100,-0.270112297519876,1.64296327067491,133.333333333335,0
8.4,210,106.666666666667,130,0.99986469745636,100,0.0931977489349618,0.945923288050644,133.33333333333,0
8.6,210,80,130,0.999909341335297,100,-0.0147589844004861,2.63901304041096,133.333333333335,0
